application_type,usia,masa_kerja,golongan_jabatan,status_kepegawaian,gaji_bulanan,jumlah_tanggungan,riwayat_kredit,keputusan_kredit,omzet_usaha,lama_usaha,sektor_ekonomi,lokasi_usaha,riwayat_pinjaman,jenis_penggunaan_kredit,jenis_jaminan,sumber_dana_pengembalian,plafond_pengajuan,jangka_waktu_kredit,collateral_details
UMKM/Pengusaha,,,,,,,,Layak,198027759.12,9.0,Jasa,Pusat Kota,Pernah Macet,Konsumsi,Tanah/Bangunan,Tambahan Modal,280124606.83,55,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,177767676.56,5.0,Transportasi,Pedesaan,Ada,Pembelian Aset,Tidak Ada,Lain-lain,449020280.57,32,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,117071659.24,1.0,Pertanian,Pinggir Kota,Pernah Macet,Investasi,Tanah/Bangunan,Usaha Sendiri,325621496.28,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""fuga""}"
Pegawai,54.0,7.0,Staf Senior,Tetap,27736091.21,3.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Emas,Bonus,290102043.52,38,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""odit""}"
UMKM/Pengusaha,,,,,,,,Layak,79845136.93,8.0,Transportasi,Sleman,Ada,Renovasi,Kendaraan,Penjualan Aset,224284373.59,55,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2017, ""atas_nama_kendaraan"": ""Putri Usada"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,39.0,5.0,Staf Pelaksana,Kontrak,13321648.99,0.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Piutang,Bonus,161620241.04,28,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""cum""}"
Pegawai,42.0,13.0,Staf Senior,Kontrak,12586279.6,3.0,Ada,Pertimbangkan,,,,,,Lain-lain,Emas,Gaji,381139003.6,28,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""consectetur""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,85429928.4,8.0,Transportasi,Bantul,Pernah Macet,Konsumsi,Kendaraan,Usaha Sendiri,86592395.57,66,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2017, ""atas_nama_kendaraan"": ""dr. Salsabila Kurniawan"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,48.0,35.0,Staf Senior,Tetap,22557152.79,1.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Emas,Lain-lain,80732999.94,55,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""dolorem""}"
Pegawai,39.0,14.0,Administrasi,Kontrak,28047064.47,3.0,Ada,Layak,,,,,,Pendidikan,Persediaan,Bonus,209525069.24,45,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""minus""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,72539852.77,13.0,Pertanian,Pusat Kota,Pernah Macet,Pembelian Aset,Tidak Ada,Lain-lain,335574995.74,64,
UMKM/Pengusaha,,,,,,,,Layak,79499123.57,7.0,Pertanian,Pusat Kota,Ada,Konsumsi,Tanah/Bangunan,Penjualan Aset,445753509.36,59,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""necessitatibus""}"
UMKM/Pengusaha,,,,,,,,Layak,162676877.3,3.0,Manufaktur,Pinggir Kota,Tidak Ada,Konsumsi,Piutang,Lain-lain,283908563.56,50,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""minima""}"
UMKM/Pengusaha,,,,,,,,Layak,47727015.58,5.0,Jasa,Sleman,Ada,Konsumsi,Emas,Penjualan Aset,361293681.66,45,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""eaque""}"
UMKM/Pengusaha,,,,,,,,Layak,172300513.07,15.0,Kuliner,Pinggir Kota,Ada,Renovasi,Emas,Penjualan Aset,302915500.91,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""beatae""}"
Pegawai,26.0,28.0,Administrasi,Outsource,17667438.13,2.0,Ada,Layak,,,,,,,Piutang,,275573939.37,58,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""tenetur""}"
UMKM/Pengusaha,,,,,,,,Layak,89498201.04,14.0,Kuliner,Sleman,Ada,Pembelian Aset,Emas,Usaha Sendiri,191763596.26,38,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ex""}"
UMKM/Pengusaha,,,,,,,,Layak,69015398.47,11.0,Jasa,Pusat Kota,Pernah Macet,Konsumsi,Tidak Ada,Tambahan Modal,194612157.86,27,
UMKM/Pengusaha,,,,,,,,Layak,135938694.95,14.0,Lainnya,Bantul,Tidak Ada,Pembelian Aset,Tanah/Bangunan,Usaha Sendiri,300675231.14,51,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quis""}"
Pegawai,37.0,11.0,Staf Senior,Tetap,16872028.08,5.0,Pernah Macet,Pertimbangkan,,,,,,,Tidak Ada,,190267777.66,22,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,119847797.6,2.0,Pertanian,Pusat Kota,Pernah Macet,Renovasi,Persediaan,Lain-lain,18836892.3,53,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""harum""}"
Pegawai,31.0,27.0,Staf Senior,Kontrak,16695246.43,1.0,Ada,Layak,,,,,,Konsumsi,Deposito,Bonus,456276582.3,42,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""accusantium""}"
Pegawai,42.0,25.0,Administrasi,Kontrak,4753987.51,0.0,Pernah Macet,Pertimbangkan,,,,,,,Piutang,,490207883.17,38,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""excepturi""}"
Pegawai,33.0,30.0,Staf Senior,Tetap,12912356.34,3.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Kendaraan,Pendapatan Lain,252198059.57,51,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Prabawa Marbun"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,105124172.0,12.0,Transportasi,Pusat Kota,Ada,Renovasi,Emas,Usaha Sendiri,231702596.7,46,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""earum""}"
UMKM/Pengusaha,,,,,,,,Layak,152147610.85,2.0,Kuliner,Sleman,Tidak Ada,Renovasi,Emas,Tambahan Modal,28873097.87,8,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""illum""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,26060975.75,9.0,Lainnya,Sleman,Pernah Macet,Modal Kerja,Tidak Ada,Penjualan Aset,5243827.66,66,
Pegawai,50.0,15.0,Supervisor,Outsource,28759347.07,5.0,Ada,Pertimbangkan,,,,,,Renovasi Rumah,Persediaan,Bonus,462534155.39,35,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""reiciendis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,17352618.89,13.0,Pertanian,Bantul,Ada,Investasi,Deposito,Penjualan Aset,472394808.17,34,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dolores""}"
Pegawai,32.0,9.0,Staf Senior,Outsource,24320232.22,4.0,Tidak Ada,Layak,,,,,,Pendidikan,Kendaraan,Lain-lain,172799817.45,36,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Devi Nuraini"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,42294665.04,12.0,Kerajinan,Bantul,Pernah Macet,Konsumsi,Persediaan,Penjualan Aset,285355239.98,41,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""mollitia""}"
UMKM/Pengusaha,,,,,,,,Layak,143035052.93,5.0,Transportasi,Sleman,Tidak Ada,Pembelian Aset,Tanah/Bangunan,Lain-lain,303094641.44,40,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""occaecati""}"
UMKM/Pengusaha,,,,,,,,Layak,49670089.13,12.0,Jasa,Online,Tidak Ada,Renovasi,Tanah/Bangunan,Penjualan Aset,430003749.37,29,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quibusdam""}"
UMKM/Pengusaha,,,,,,,,Layak,77296833.98,15.0,Transportasi,Yogyakarta Kota,Tidak Ada,Renovasi,Piutang,Lain-lain,48133926.52,51,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""cupiditate""}"
UMKM/Pengusaha,,,,,,,,Layak,166409898.37,11.0,Perdagangan,Yogyakarta Kota,Pernah Macet,Investasi,Tidak Ada,Lain-lain,125757332.32,29,
UMKM/Pengusaha,,,,,,,,Layak,125892629.68,11.0,Kuliner,Pedesaan,Pernah Macet,Konsumsi,Persediaan,Usaha Sendiri,410004562.54,55,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""provident""}"
Pegawai,34.0,24.0,Staf Senior,Kontrak,9765648.92,4.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Deposito,Lain-lain,136224041.87,7,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nam""}"
UMKM/Pengusaha,,,,,,,,Layak,195934982.59,12.0,Perdagangan,Yogyakarta Kota,Ada,Investasi,Deposito,Penjualan Aset,11192765.78,63,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""voluptatum""}"
UMKM/Pengusaha,,,,,,,,Layak,121539313.9,6.0,Jasa,Pinggir Kota,Pernah Macet,Renovasi,Tanah/Bangunan,Usaha Sendiri,50149508.73,24,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""maiores""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,102432910.47,4.0,Manufaktur,Pusat Kota,Pernah Macet,Investasi,Tidak Ada,Penjualan Aset,394731476.29,14,
UMKM/Pengusaha,,,,,,,,Layak,157188758.39,1.0,Pertanian,Pinggir Kota,Tidak Ada,Investasi,Kendaraan,Tambahan Modal,217436867.37,33,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2014, ""atas_nama_kendaraan"": ""Taufan Prayoga, S.IP"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,75710025.53,7.0,Kerajinan,Pusat Kota,Pernah Macet,Modal Kerja,Emas,Tambahan Modal,138128401.95,68,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eius""}"
Pegawai,41.0,0.0,Staf Pelaksana,Kontrak,20194531.12,1.0,Tidak Ada,Layak,,,,,,Pendidikan,Persediaan,Gaji,269159149.63,11,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""assumenda""}"
UMKM/Pengusaha,,,,,,,,Layak,52707353.84,15.0,Transportasi,Yogyakarta Kota,Tidak Ada,Konsumsi,Tanah/Bangunan,Tambahan Modal,438788446.02,31,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""aliquid""}"
UMKM/Pengusaha,,,,,,,,Layak,91855980.81,4.0,Pertanian,Pedesaan,Tidak Ada,Investasi,Kendaraan,Tambahan Modal,78895103.78,60,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2014, ""atas_nama_kendaraan"": ""drg. Karma Hutasoit, M.M."", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,59.0,31.0,Staf Pelaksana,Kontrak,13712576.94,2.0,Ada,Layak,,,,,,Pendidikan,Kendaraan,Bonus,303664389.14,34,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2012, ""atas_nama_kendaraan"": ""Ajimat Widiastuti"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,44.0,34.0,Administrasi,Outsource,14072606.23,3.0,Pernah Macet,Pertimbangkan,,,,,,Pendidikan,Piutang,Lain-lain,384610107.13,56,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""neque""}"
UMKM/Pengusaha,,,,,,,,Layak,123947915.96,3.0,IT,Yogyakarta Kota,Ada,Renovasi,Kendaraan,Usaha Sendiri,356158389.72,41,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2018, ""atas_nama_kendaraan"": ""Cut Ella Safitri"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,51.0,15.0,Administrasi,Kontrak,12282926.78,3.0,Pernah Macet,Pertimbangkan,,,,,,,Persediaan,,236300840.99,70,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""illo""}"
Pegawai,31.0,5.0,Staf Senior,Kontrak,25619768.89,0.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Emas,Gaji,344320454.44,39,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""dolore""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,24356324.36,15.0,Manufaktur,Yogyakarta Kota,Ada,Pembelian Aset,Kendaraan,Penjualan Aset,153490690.27,30,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2010, ""atas_nama_kendaraan"": ""Mutia Sudiati"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,110740852.33,2.0,IT,Bantul,Tidak Ada,Modal Kerja,Kendaraan,Penjualan Aset,266240995.0,63,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2023, ""atas_nama_kendaraan"": ""Dr. Jamil Siregar, M.Farm"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,56466388.72,13.0,Perdagangan,Bantul,Tidak Ada,Renovasi,Piutang,Tambahan Modal,25837896.26,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nisi""}"
Pegawai,45.0,30.0,Staf Pelaksana,Tetap,23603712.15,1.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Tanah/Bangunan,Pendapatan Lain,398499977.6,68,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""molestiae""}"
UMKM/Pengusaha,,,,,,,,Layak,135297533.59,12.0,Kuliner,Yogyakarta Kota,Tidak Ada,Renovasi,Piutang,Lain-lain,40958793.2,47,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""non""}"
Pegawai,49.0,9.0,Staf Senior,Tetap,17164729.65,0.0,Pernah Macet,Pertimbangkan,,,,,,,Tanah/Bangunan,,215825066.56,15,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""natus""}"
UMKM/Pengusaha,,,,,,,,Layak,198963830.62,4.0,Kuliner,Sleman,Ada,Investasi,Tanah/Bangunan,Usaha Sendiri,170446591.56,6,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""possimus""}"
Pegawai,35.0,32.0,Supervisor,Kontrak,7231814.76,1.0,Tidak Ada,Layak,,,,,,Lain-lain,Deposito,Bonus,6831567.11,65,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dignissimos""}"
UMKM/Pengusaha,,,,,,,,Layak,127170085.65,6.0,Perdagangan,Bantul,Ada,Pembelian Aset,Persediaan,Usaha Sendiri,460105920.01,46,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""omnis""}"
UMKM/Pengusaha,,,,,,,,Layak,107920585.9,1.0,Transportasi,Yogyakarta Kota,Tidak Ada,Konsumsi,Persediaan,Penjualan Aset,9854456.7,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""neque""}"
UMKM/Pengusaha,,,,,,,,Layak,187292978.55,15.0,Pertanian,Online,Ada,Investasi,Persediaan,Lain-lain,249946733.18,52,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quo""}"
Pegawai,42.0,0.0,Supervisor,Outsource,24166924.73,5.0,Ada,Pertimbangkan,,,,,,,Kendaraan,,435585387.59,13,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2001, ""atas_nama_kendaraan"": ""dr. Darsirah Nababan, S.Ked"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,60.0,1.0,Staf Senior,Kontrak,18894700.1,4.0,Pernah Macet,Pertimbangkan,,,,,,Renovasi Rumah,Kendaraan,Lain-lain,145602303.98,23,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2007, ""atas_nama_kendaraan"": ""Farah Natsir"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,27.0,28.0,Staf Senior,Kontrak,19911178.04,2.0,Pernah Macet,Pertimbangkan,,,,,,Renovasi Rumah,Tanah/Bangunan,Lain-lain,255697572.01,24,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""necessitatibus""}"
UMKM/Pengusaha,,,,,,,,Layak,106138512.77,10.0,Pertanian,Sleman,Ada,Renovasi,Emas,Usaha Sendiri,19431495.59,69,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""ipsum""}"
Pegawai,44.0,6.0,Administrasi,Tetap,20271794.98,0.0,Tidak Ada,Layak,,,,,,Renovasi Rumah,Kendaraan,Gaji,291946937.22,22,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2023, ""atas_nama_kendaraan"": ""Sutan Mahmud Winarno"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,33.0,23.0,Staf Senior,Tetap,11973565.78,0.0,Ada,Layak,,,,,,,Tidak Ada,,112486889.99,10,
Pegawai,45.0,6.0,Supervisor,Outsource,4622005.58,1.0,Ada,Layak,,,,,,Konsumsi,Piutang,Gaji,45581131.22,9,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dicta""}"
Pegawai,27.0,4.0,Staf Pelaksana,Tetap,18869874.86,0.0,Ada,Pertimbangkan,,,,,,Pembelian Kendaraan,Tanah/Bangunan,Pendapatan Lain,212107806.33,60,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""distinctio""}"
Pegawai,24.0,1.0,Administrasi,Kontrak,24763044.33,3.0,Tidak Ada,Layak,,,,,,,Tanah/Bangunan,,14258300.57,72,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""maxime""}"
Pegawai,40.0,25.0,Supervisor,Outsource,24497005.19,3.0,Pernah Macet,Pertimbangkan,,,,,,Renovasi Rumah,Persediaan,Lain-lain,181864012.74,34,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""illo""}"
Pegawai,49.0,32.0,Staf Senior,Kontrak,9328390.66,5.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Kendaraan,Pendapatan Lain,226210051.59,68,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2009, ""atas_nama_kendaraan"": ""Gasti Fujiati, S.E."", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,175860879.57,8.0,Kuliner,Sleman,Ada,Modal Kerja,Piutang,Penjualan Aset,480833855.57,9,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dolorum""}"
UMKM/Pengusaha,,,,,,,,Layak,91973031.7,9.0,Pertanian,Sleman,Ada,Renovasi,Tanah/Bangunan,Lain-lain,270362079.95,35,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""enim""}"
Pegawai,56.0,16.0,Staf Senior,Tetap,24812278.05,3.0,Tidak Ada,Layak,,,,,,,Persediaan,,136971797.45,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""ea""}"
UMKM/Pengusaha,,,,,,,,Layak,113612651.07,5.0,Perdagangan,Pedesaan,Tidak Ada,Modal Kerja,Tidak Ada,Penjualan Aset,53546598.55,27,
UMKM/Pengusaha,,,,,,,,Tidak Layak,5567390.97,2.0,Transportasi,Pinggir Kota,Ada,Pembelian Aset,Persediaan,Lain-lain,153664811.79,56,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""non""}"
UMKM/Pengusaha,,,,,,,,Layak,42209227.07,10.0,Kuliner,Pusat Kota,Ada,Modal Kerja,Emas,Penjualan Aset,210047303.77,24,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""voluptate""}"
UMKM/Pengusaha,,,,,,,,Layak,192790677.67,11.0,Perdagangan,Pusat Kota,Ada,Renovasi,Piutang,Usaha Sendiri,444667461.61,23,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""odio""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,199599574.75,13.0,Perdagangan,Pedesaan,Pernah Macet,Investasi,Persediaan,Tambahan Modal,231066028.67,6,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""sit""}"
Pegawai,51.0,10.0,Supervisor,Outsource,12003881.05,3.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Kendaraan,Pendapatan Lain,343208140.12,32,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2020, ""atas_nama_kendaraan"": ""KH. Najam Waluyo, M.M."", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,31.0,33.0,Administrasi,Outsource,22499803.07,1.0,Ada,Layak,,,,,,Urusan Pribadi,Piutang,Bonus,163939874.43,60,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""molestias""}"
UMKM/Pengusaha,,,,,,,,Layak,168959015.86,9.0,Perdagangan,Yogyakarta Kota,Pernah Macet,Pembelian Aset,Tidak Ada,Usaha Sendiri,167897520.17,33,
Pegawai,30.0,28.0,Staf Pelaksana,Outsource,4844423.97,4.0,Pernah Macet,Tidak Layak,,,,,,Pendidikan,Deposito,Gaji,235404902.24,69,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""fugiat""}"
Pegawai,57.0,0.0,Supervisor,Tetap,8928383.84,4.0,Ada,Pertimbangkan,,,,,,,Piutang,,385546930.41,59,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""dolores""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,16291336.94,7.0,IT,Online,Ada,Pembelian Aset,Emas,Tambahan Modal,7194009.25,39,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""architecto""}"
Pegawai,21.0,8.0,Staf Senior,Outsource,10874181.13,4.0,Tidak Ada,Layak,,,,,,,Kendaraan,,499534481.48,28,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2020, ""atas_nama_kendaraan"": ""dr. Indra Padmasari, S.Farm"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,42.0,22.0,Supervisor,Tetap,12364224.74,4.0,Ada,Layak,,,,,,,Emas,,93715775.35,34,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""cumque""}"
UMKM/Pengusaha,,,,,,,,Layak,93715605.49,11.0,Transportasi,Sleman,Pernah Macet,Renovasi,Tanah/Bangunan,Lain-lain,406970495.29,13,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nulla""}"
UMKM/Pengusaha,,,,,,,,Layak,91749585.83,11.0,IT,Pinggir Kota,Ada,Pembelian Aset,Tidak Ada,Tambahan Modal,365001482.18,62,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,162217718.41,5.0,Transportasi,Pinggir Kota,Ada,Investasi,Kendaraan,Usaha Sendiri,6026313.08,21,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2019, ""atas_nama_kendaraan"": ""Betania Permadi"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Tidak Layak,13332072.4,7.0,Kerajinan,Pinggir Kota,Pernah Macet,Renovasi,Emas,Lain-lain,314442794.33,55,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ad""}"
Pegawai,39.0,18.0,Staf Pelaksana,Tetap,14271354.94,0.0,Ada,Layak,,,,,,Lain-lain,Kendaraan,Gaji,349413432.95,28,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2017, ""atas_nama_kendaraan"": ""Hilda Lailasari"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,35.0,31.0,Supervisor,Tetap,29444297.29,0.0,Tidak Ada,Layak,,,,,,,Kendaraan,,337550532.95,27,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Suci Yuliarti"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,34.0,16.0,Administrasi,Kontrak,23945268.56,2.0,Ada,Layak,,,,,,Konsumsi,Emas,Gaji,464563114.9,67,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dolore""}"
Pegawai,58.0,4.0,Staf Senior,Outsource,19357219.18,3.0,Pernah Macet,Tidak Layak,,,,,,Pendidikan,Kendaraan,Pendapatan Lain,454204993.69,43,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2024, ""atas_nama_kendaraan"": ""Gamanto Handayani"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,81191614.75,2.0,Jasa,Bantul,Tidak Ada,Modal Kerja,Emas,Usaha Sendiri,412132331.24,50,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""deleniti""}"
Pegawai,51.0,17.0,Supervisor,Outsource,11476865.54,5.0,Tidak Ada,Layak,,,,,,,Tanah/Bangunan,,490915802.37,53,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quos""}"
UMKM/Pengusaha,,,,,,,,Layak,183591323.23,6.0,Perdagangan,Bantul,Tidak Ada,Pembelian Aset,Persediaan,Penjualan Aset,357035494.6,7,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""dignissimos""}"
Pegawai,29.0,0.0,Staf Senior,Outsource,13472942.02,2.0,Ada,Pertimbangkan,,,,,,Urusan Pribadi,Persediaan,Pendapatan Lain,493141622.11,40,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""similique""}"
Pegawai,27.0,12.0,Staf Senior,Outsource,29646563.26,3.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Deposito,Pendapatan Lain,71074811.52,63,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nobis""}"
UMKM/Pengusaha,,,,,,,,Layak,87524083.07,7.0,Jasa,Yogyakarta Kota,Pernah Macet,Investasi,Tanah/Bangunan,Penjualan Aset,332872893.73,64,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""eaque""}"
UMKM/Pengusaha,,,,,,,,Layak,33360077.53,10.0,Jasa,Pinggir Kota,Tidak Ada,Konsumsi,Persediaan,Lain-lain,306044591.6,14,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nulla""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,109978170.6,13.0,Manufaktur,Pusat Kota,Pernah Macet,Investasi,Tidak Ada,Penjualan Aset,442358434.59,51,
